product,price
삼다수 2L,780
삼다수 500ml,430
농심 백산수 2L* 6입(무라벨),"5,880"
삼성생명 미네랄 워터 2.0L*6입,"2,000"
코카콜라 1.8L,"2,380"
[롯데] 아이시스 8.0 2L,680
초정탄산수 1.5L,980
[웅진] 하늘보리 1.5L,"1,000"
[트레비] 레몬 300ml*20,"7,780"
서울우유 아침에주스 오렌지 1.8L,"3,980"
[트레비] 라임 300ml*20입,"7,780"
코크제로+스프라이트 제로 1.5*2,"4,080"
삼다수 330ml,390
[아침에주스] 오렌지 (950ml),"2,950"
미닛메이드 오렌지 1.5L,"1,475"
미닛메이드 포도 1.5L,"1,475"
코카콜라 1.8L 2입 기획,"5,680"
[파워에이드] 마운틴 블라스트 (1.5L),"1,600"
포카리스웨트 1.8L*2,"4,280"
[농심] 백산수 500ml,430
삼성생명 미네랄워터 500ml*20입,"3,600"
[농심] 백산수 330ml,390
[델몬트] 콜드 오렌지 과즙 100%(1.89L*2) 3.78L,"7,980"
[트레비] 플레인300ml*20입,"7,780"
[롯데]아이시스 8.0 300ml,250
피코크 트루스파클링 레몬 500ml X 6 (탄산수),"3,570"
코카1.8L + 스프라이트 1.8L,"4,760"
피코크 블렌디드 딸기 870ml,"9,980"
농심 카프리썬 오렌지 15+5입,"6,600"
펩시 제로 210ml*10,"4,880"
[롯데] 아이시스8.0 500ml,340
피코크 ABC클렌즈주스 900ml (비가열),"11,800"
[농심] 백산수 2L,980
[동원 소와나무] 쿨피스 복숭아 (930ml),950
피코크 트루워터 2L X 6(무라벨 생수),"3,480"
[코카콜라] 코카콜라 500ml,"1,880"
[트레비] 자몽 300ml*20입,"7,780"
[롯데] 칠성사이다 1.8L,"2,080"
[아침에주스] 100% 오렌지 (210ml*3개),"2,850"
펩시에코패키지(제로무라벨300*10+에코백),"9,980"
노브랜드 식혜 음료 238ml*12,"4,560"
칠성사이다 제로 1.5L,"2,680"
[코카콜라] 제로 1.5L,"2,980"
펩시콜라210캔*10,"4,880"
[웅진] 뉴 초록매실 1.5L,"2,280"
코카-콜라 제로 500ml,"1,780"
[Limmi] 레몬 쥬스 200ml,"1,980"
[미떼] 핫초코 오리지날 300g 2+1 기획,"11,700"
[서울우유] 아침에주스 사과 1.8L,"3,980"
박카스F 120ml*20입,"14,880"
[델몬트] 오렌지 드링크(190ml24팩) 4560ml,"7,480"
[롯데] 칠성사이다(250ml6) 1500ml,"5,080"
서울우유 아침에주스 포도 1.8L,"3,980"
피코크 트루스파클링 자몽 500ml X 6 (탄산수),"3,570"
노브랜드 캔콜라355ml*6,"2,580"
[광동] (S) 비타500 칼슘 (100ml*20개),"10,960"
[롯데] 칠성 사이다 (500ml),"1,580"
피코크 프레스드오렌지 900ml,"8,980"
[빙그레] 따옴 오렌지주스 1600ml,"4,880"
광명찾은 결명자 1.5L,"1,000"
[광동] 비타500 (100ml*10입),"5,480"
델몬트콜드1.0L*3(오렌지2+포도1)+텀블러,"7,980"
농심 카프리썬 사파리 15+5입,"6,600"
[아침에주스] 사과 950ml,"2,950"
[남양] 몸이 가벼워지는 시간 17차 (茶) 1.5L,"1,180"
씨그램 플레인 350ml*12,"6,980"
포카리스웨트 500ml,"1,680"
[동아오츠카] 나랑드 사이다 1.5L,"1,980"
[광동] 옥수수 수염차 (1.5L),"1,980"
피코크 마몰로 리치핫초코 600g,"9,980"
파워에이드 메가볼츠 1.5L,"1,600"
갈아만든 배 1L,"1,700"
씨그램 플레인 350ml,650
[팔도] 비락 식혜 1.8L,"3,980"
[웰치스] 웰치 그레이프맛 (355ml6개),"4,580"
씨그램 라임 350ML*12,"6,980"
노브랜드 미네랄워터 2L*6,"1,980"
토레타 1.5L,"3,180"
[아침에주스] 포도 (950ml),"2,950"
[한국야쿠르트] 하루야채 뽀로로 100mlX4개,"4,000"
